object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of NO SEPTA,Probability of DEFECTS,Probability of COMPLETE SEPTA,Probability of BAD FIT,Bounding Box Maximum_0,Bounding Box Maximum_1,Center of the object_0,Center of the object_1,Mean Intensity,Variance of Intensity,Size in pixels,Bounding Box Minimum_0,Bounding Box Minimum_1,Maximum intensity in neighborhood,Object Center_0,Object Center_1,Convexity,Number of Defects
0,0,1,DEFECTS,DEFECTS,0.06,0.76,0.07,0.11,1530.0,57.0,1518.2773,45.97199,60.355743,345.40567,357.0,1508.0,35.0,68.0,1518.2773,45.97199,0.7376033,5.0
1,0,2,BAD FIT,BAD FIT,0.02,0.09,0.04,0.85,1550.0,284.0,1533.5806,266.2936,54.30705,191.26646,596.0,1518.0,250.0,92.0,1533.5806,266.2936,0.5477941,5.0
2,0,3,0,NO SEPTA,0.68,0.16,0.06,0.1,1053.0,430.0,1045.048,418.42807,56.55822,64.65072,292.0,1037.0,408.0,112.0,1045.048,418.42807,0.82954544,4.0
3,0,4,NO SEPTA,NO SEPTA,0.71,0.16,0.03,0.1,1073.0,430.0,1064.0769,418.67133,57.78322,70.3586,286.0,1057.0,408.0,112.0,1064.0769,418.67133,0.8125,4.0
4,0,5,BAD FIT,BAD FIT,0.13,0.17,0.03,0.67,912.0,462.0,896.80347,449.74448,79.49386,184.22539,407.0,884.0,441.0,255.0,896.80347,449.74448,0.6921769,4.0
5,0,6,0,BAD FIT,0.12,0.21,0.12,0.55,543.0,608.0,527.5751,595.6089,124.34884,805.3815,473.0,511.0,585.0,166.0,527.5751,595.6089,0.64266306,5.0
6,0,7,BAD FIT,BAD FIT,0.06,0.22,0.04,0.68,2300.0,651.0,2290.677,640.57306,52.892307,114.51917,260.0,2281.0,632.0,104.0,2290.677,640.57306,0.7202216,4.0
7,0,8,DEFECTS,DEFECTS,0.04,0.7,0.06,0.2,1512.0,666.0,1498.1498,653.934,86.57614,657.833,394.0,1486.0,644.0,145.0,1498.1498,653.934,0.6888112,4.0
8,0,9,DEFECTS,DEFECTS,0.05,0.68,0.09,0.18,2297.0,669.0,2285.2358,658.0818,50.38679,110.80951,318.0,2275.0,650.0,104.0,2285.2358,658.0818,0.76076555,4.0
9,0,10,0,DEFECTS,0.11,0.38,0.31,0.2,2051.0,779.0,2040.2533,768.5,53.613636,134.00981,308.0,2031.0,759.0,74.0,2040.2533,768.5,0.77,4.0
10,0,11,COMPLETE SEPTA,COMPLETE SEPTA,0.0,0.17,0.74,0.09,2227.0,836.0,2215.413,822.8533,56.508556,182.7976,409.0,2204.0,811.0,65.0,2215.413,822.8533,0.71130437,4.0
11,0,12,0,DEFECTS,0.17,0.57,0.13,0.13,351.0,831.0,337.62216,820.8551,68.130684,298.2045,352.0,326.0,812.0,131.0,337.62216,820.8551,0.7410526,4.0
12,0,13,DEFECTS,DEFECTS,0.1,0.78,0.06,0.06,1164.0,842.0,1153.9613,831.1901,68.08451,188.26047,284.0,1144.0,822.0,159.0,1153.9613,831.1901,0.71,4.0
13,0,14,0,DEFECTS,0.21,0.35,0.31,0.13,356.0,850.0,341.6004,838.5758,67.99385,332.15775,488.0,327.0,828.0,131.0,341.6004,838.5758,0.76489025,4.0
14,0,15,0,DEFECTS,0.11,0.76,0.07,0.06,1146.0,851.0,1136.3698,840.2359,73.271126,199.13423,284.0,1128.0,829.0,159.0,1136.3698,840.2359,0.7171717,4.0
15,0,16,DEFECTS,DEFECTS,0.26,0.68,0.02,0.04,2320.0,889.0,2308.5718,876.8564,65.05851,121.68275,376.0,2298.0,866.0,136.0,2308.5718,876.8564,0.743083,4.0
16,0,17,NO SEPTA,NO SEPTA,0.68,0.26,0.04,0.02,2336.0,898.0,2326.0066,886.64685,63.669968,153.91087,303.0,2317.0,876.0,136.0,2326.0066,886.64685,0.7248804,4.0
17,0,18,DEFECTS,DEFECTS,0.15,0.77,0.07,0.01,2355.0,909.0,2342.6511,897.3079,62.493187,219.48701,367.0,2332.0,887.0,136.0,2342.6511,897.3079,0.72529644,4.0
18,0,19,0,BAD FIT,0.15,0.26,0.06,0.53,245.0,910.0,233.66144,898.4922,100.260185,345.12665,319.0,223.0,888.0,133.0,233.66144,898.4922,0.65909094,4.0
